Sample_title	HCM269	HCM273	HCM282	HCM395	HCM405	HCM420	HCM429	HCM431	HCM437	HCM439	HCM443	HCM456	HCM460	HCM483	HCM486	HCM490	HCM491	HCM493	HCM498	HCM504	HCM506	HCM515	HCM518	HCM533	HCM541	HCM552	HCM562	HCM591	N102-LV	N103-LV	N104-LV	N105-LV	ND1-LV	ND2	sc2-LV	sc5-LV	sc6-LV
Sample_characteristics_ch1	age: 25	age: 30	age: 48	age: 20	age: 31	age: 32	age: 36	age: 24	age: 30	age: 47	age: 28	age: 28	age: 43	age: 37	age: 36	age: 41	age: 30	age: 40	age: 39	age: 25	age: 19	age: 21	age: 31	age: 47	age: 38	age: 32	age: 36	age: 42	age: 30	age: 40	age: 35	age: 46	age: 37	age: 47	age: 39	age: 29	age: 36
Sample_molecule_ch1	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA
Sample_extract_protocol_ch1	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"	"Total RNA was isolated with TRIzolTM reagent (Invitrogen, USA) according to the manufacturer’s instruction. RNA concentration was measured using Qubit® RNA Assay Kit in Qubit® 2.0 Fluorometer (Life Technologies, CA, USA)"
!Sample_extract_protocol_ch1	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."	"Strand-specific RNA-seq libraries were generated using NEBNext® UltraTM Directional RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s instructions."
Sample_taxid_ch1	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606
Sample_data_processing	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0	The raw sequencing reads were subjected to adapter trimming and base quality filtering by fastp v0.7.0
!Sample_data_processing	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings	Clean reads obtained were aligned to the human reference genome (GRCh37) using hisat2 v2.1.0 under default settings
Sample_data_processing	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b	Transcript de novo assembly for each sample was performed using StringTie v1.3.4b
Sample_data_processing	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings	The expression of the transcripts was quantified with kallisto v0.43.1 under default settings
Sample_data_processing	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37	Genome_build: GRCh37
